company	url	picture	address	Area	tags	numOfEmplyee	category	contactEmail	contactPhone	contactName	description	twitter	facebookPage	latitude	longitude	isHiring	on logo map?	tofes?	Company Type	Comments	If your company is hiring, please add a link to the "open position" web page	~Year of establishment	~Are you familiar with the grants for Jerusalem based companies?	~Is your company looking to raise money?	~If yes- would you like to get more information about the grants?did	~If not - would you like to get more information about the grants?	~Is your company looking to raise money?	logo	Company	מקור	שם החברה באנגלית	שלוחות בחו"ל	מקור תיק לקוח	פקס	מגזר עסקי	מענק לחברות ביו	מוסד אקדמי	מעוניין בפניה יזומה	מענק הסתגלות	הוסף איש קשר ראשי כעובד חברה	מהות הפניה	ביו-גדול	מנכ"ל	ח.פ	השפעה על התאמת תוכניות הלימודים לצרכי התעשיה	תעסוקה	מסלול תעסוקה	כוונה לפתוח או להרחיב שלוחות	מסלול שכר גבוה	איזור תעשיה	שלוחות בישראל	שלוחות בירושלים	מעבדות	הקצאת קרקע	עובד עובר	תעסוקת חרדים	מסלול אחר	האם התקבלו מענקים קודמים	ביצוע מחקרים עם חוקרים באקדמיה	בעלים משני	מענק לחברות הזנק	מענק העסקת סטודנטים	כוונה לקלוט סטודנטים	תחום	מהנדסים/מתכנתים	עובדי הנהלה	עובדים אחרים	תאריך Round A	סכום Round A	תאריך Round B	סכום Round B	תאריך Seed	סכום Seed
Minicom	http://www.minicom.com/		הרטום 16, ת.ד. 45048	HH					02-5359618	מוטי שולק	פתרונות ניהול IT			31.809	35.2235	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.minicom.com/">Minicom</a>	הקובץ של הרל"י	minicom	כן	אתר אינטרנט	02-5359693	תקשורת	לא	לא	לא	לא	כן	אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
Mobichem	http://www.mobichem-sci.com		הרטום 19, ת.ד.45390	HH		7			02-8560324	אולג ברזין	ייצור משחות לתאורה אלקטרוניתללקוחות באיטליה, שוויץ, דרא"פ ורוסיה+פרוייקטים עבור חברות אחרות ו"המדען הראשי"			31.809	35.2235	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.mobichem-sci.com">Mobichem</a>	הקובץ של הרל"י	Mobichem	לא	אחר	02-5902602	היי-טק	לא	כן	כן	לא	כן	הרחבת עסק בירושלים	לא	אולג ברזין	513222091	לא	לא	לא	כן	לא		לא	לא	לא	לא	לא	לא	לא	לא	כן		לא	כן	כן				7						
Mobileye	http://www.mobileye.com/	http://www.mobileye.com/wp-content/themes/mobileye/images/logo.gif	Har Hotzvim	HH	Big 	250	Software				Using sophisticated vision algorithms, Mobileye’s collision avoidance technology is able to ‘interpret’ a scene in real-time and provide drivers with an immediate evaluation based on its analysis. Automakers are now adopting this technology into their rapidly expanding safety feature applications known as Advanced Driver Assistance Systems (ADAS).			31.804734	35.213252		V											<img src="http://www.mobileye.com/wp-content/themes/mobileye/images/logo.gif" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.mobileye.com/">Mobileye</a>	הקובץ של MAdeinJLM	Mobileye																																										
MyClozz		http://madeinjlm.org/map/1px.png	PICO	Talpiot	Pre-Seed	2	Internet				Sitech			31.793519	35.243282		V											<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">MyClozz</a>	הקובץ של MAdeinJLM	MyClozz																																										
Ness		http://madeinjlm.org/map/1px.png		HH	Big,Service		Service Provider / Outsource										X											<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">Ness</a>	הקובץ של MAdeinJLM	Ness																																										
NowForce	http://www.nowforce.com/	http://www.nowforce.com/wp-content/themes/Nowforce/images/logo.png	6 Hartum, HH	HH	Mid		Software				Whether you’re looking to reduce response times, create a safer environment for the people you serve, or optimize incident management, NowForce’s suite of emergency response software and mobile dispatch apps will help your organization improve outcomes.			31.802637	35.213388		?											<img src="http://www.nowforce.com/wp-content/themes/Nowforce/images/logo.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.nowforce.com/">NowForce</a>	הקובץ של MAdeinJLM	NowForce																																										
Omrix	http://www.omrix.com	http://madeinjlm.org/map/1px.png		HH			pharma		03-7707799	Galia Eckstein	דבק ביולוגי			31.809	35.2235		V											<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.omrix.com">Omrix</a>	הקובץ של MAdeinJLM	Omrix																																										
Ophir optical	http://www.ophiropt.com/	http://www.ophiropt.com/user_files/logos/ophir_logo.gif	Science-based industrial Park, Har Hotzvim	HH	Big		Hardware				Ophir Optronics is a global leader in precision infrared optics, photonics instrumentation and 3D non-contact measurement equipment. The company develops, manufactures and markets top quality products that are based on the most advanced technologies and are renowned for their quality and reliability.			31.80294	35.209753		V											<img src="http://www.ophiropt.com/user_files/logos/ophir_logo.gif" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.ophiropt.com/">Ophir optical</a>	הקובץ של MAdeinJLM	Ophir optical																																										
Oramed	http://oramed.com/	http://madeinjlm.org/map/1px.png	כפר ההיי-טק 626 3C, ת.ד. 39098	Givat Ram			Medical		547924438	אביבה שרמן	developing proprietary technology for the oral delivery of drugs			31.7941	35.2148		?											<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://oramed.com/">Oramed</a>	הקובץ של MAdeinJLM	Oramed																																										
Oridion	http://www.oridion.com		המרפא 7, בניין 5	HH			pharma		02-5899147	יעקב בוביס	פיתוח מכשור רפואי המעצים את בטיחות החולים באמצעות ניטור הפחמן הדו- חמצני בנשימת החולה			31.809	35.2235	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.oridion.com">Oridion</a>	הקובץ של הרל"י	oridion medical	כן	אחר	02-5825873	ביו-טק		לא	כן	לא	לא	הרחבת עסק בירושלים	לא		511197493	כן	לא	לא	לא	כן		לא	לא	לא	לא	לא	לא	לא	לא	כן		לא	לא	לא										
Photocell			כפר ההיטק, קמפוס גבעת רם, ת.ד. 39158	Givat Ram		3		Ilan@psphotocell.com	054-2520030	אילן לוי	פיתוח של תאים סולריים בטכנולוגיה חדשנית			31.782	35.2155	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">Photocell</a>	הקובץ של הרל"י	Photocell	לא	אחר	08-8506118	ביו-טק	לא	לא	כן	לא	כן	אחר	לא	אילן לוי	514696095	לא	לא	כן	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	כן	כן		2	1							
PICO	http://www.picojerusalem.com/	http://madeinjlm.org/wp-content/uploads/2013/07/logopico.png	Poale Tzedek 2, 4th floor, Talpiot, 	Talpiot			Accelerator/Hub				PICO is an exciting new concept in co-working shared space located in Talpiot, Jerusalem. In order to effect a sound ‘ground roots’ change in the economic reality of the neighborhood, we have created the eco-system to truly imbibe the area with a new paradigm in business development.  			31.752962	35.21506		V											<img src="http://madeinjlm.org/wp-content/uploads/2013/07/logopico.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.picojerusalem.com/">PICO</a>	הקובץ של MAdeinJLM	PICO																																										
Pilat Media	http://www.pilatmedia.com/	http://madeinjlm.org/map/1px.png	Har Hotzvim	HH	Mid	30	Software				Pilat Media focuses on business management for media operations. Our product suites help top tier broadcasters generate billions of dollars in revenue.	Pilat_Media		31.802815	35.209623		V											<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.pilatmedia.com/">Pilat Media</a>	הקובץ של MAdeinJLM	Pilat Media																																										
Planet of the Apps	http://poa-media.com	http://www.poa-media.com/images/site_new.jpg	Communication Center, Neve-Ilan	Neve Ilan		6	mobile	ben@poa-media.com		Ben Engel-Kacen	Planet of the Apps design, develop and publish casual social games for mobile platforms.    The company bring innovation to the casual social gaming sphere through creative business models and unique user experience. 	@Poamediagroup	https://www.facebook.com/POAgroup	31.80705	35.08647	Yes, we are hiring!			Startup		http://www.ilventure.co/planet-of-the-apps	2013	No	Yes			Yes	<img src="http://www.poa-media.com/images/site_new.jpg" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://poa-media.com">Planet of the Apps</a>	הקובץ של MAdeinJLM	Planet of the Apps																																										
POD	http://smartproductdiscovery.com/	http://madeinjlm.org/map/1px.png			Pre-Seed	30	Mobile				Pod is a unique product discovery service that helps you make the right buying decisions. No more scrolling endless reviews. Intelligent filters: read what you need. 						?											<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://smartproductdiscovery.com/">POD</a>	הקובץ של MAdeinJLM	POD																																										
Powermat	http://powermat.com/	http://upload.wikimedia.org/wikipedia/en/6/66/Powermat_Technologies_Comp._logo.png	Neve ilan	Neve ilan	Big 	100	Hardware		02-9950500	דוד אבר	Powermat Technologies Ltd. is a developer of wireless energy transfer solutions for consumers, OEM and public places. Retail products are sold worldwide under the brand Duracell Powermat. The company's inductive charging technology has been adopted by the Power Matters Alliance and is the platform adopted by Duracell, General Motors, Starbucks and AT&T.פיתוח משטח טעינה למכשירים אלקטרונים קטנים. הטכנולוגיה מאפשרת למכשירים אלקטרונים כגון: טלפונים חכמים, נגני MP3 ומשחקים אלקטרונים להיטען ללא השימוש בכבלים לטעינה			31.808158	35.081069	Nope	?											<img src="http://upload.wikimedia.org/wikipedia/en/6/66/Powermat_Technologies_Comp._logo.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://powermat.com/">Powermat</a>	הקובץ של MAdeinJLM	Powermat																																										
Presentense	http://presentense.org/	http://presentense.org/files/profile_images/ptstar_0.jpg?1382425943	14 Hillel Street, 4th floor	Center			Accelerator/Hub				PresenTense’s Jerusalem Hub hosts a social workspace for entrepreneurs and freelancers, locals and travelers in need of   a productive place to work or meet. PresenTense’s hub offers open desks,  offices, office hours, a conference room, a classroom, conversation clusters, and an environment that is inspiring and animating.	https://twitter.com/PresenTense	https://www.facebook.com/presentense	31.780386	35.217487		V											<img src="http://presentense.org/files/profile_images/ptstar_0.jpg?1382425943" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://presentense.org/">Presentense</a>	הקובץ של MAdeinJLM	Presentense																																										
Qualitest	http://www.qualitestgroup.com/	https://pbs.twimg.com/profile_images/112737881/QualiTest_Logo_Twitter.gif	המרפא 8	HH	Big,Service		Service Provider / Outsource				QualiTest Group is the world's second largest independent QA and software testing company. 			31.802865	35.211182		X											<img src="https://pbs.twimg.com/profile_images/112737881/QualiTest_Logo_Twitter.gif" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.qualitestgroup.com/">Qualitest</a>	הקובץ של MAdeinJLM	Qualitest																																										
Quickcode	www.quickode.com	http://www.quickode.com/public/logo_black.jpg	2nd floor, the Tower, Malcha technology park, Jerusalem	Malcha		18	Service Provider / Outsource	yoni@quickode.com	054-6968896	Yoni Colb	Quickode Ltd. is a mobile software firm developing applications and platforms and providing end to end service from wireframes and specification to amazing applications as well as server-side solutions, web development and more.	@Quickode	https://www.facebook.com/pages/Quickode-Ltd/198740810145469	31.749847	35.18633	Yes, we are hiring!			Service Provider / Outsource		http://quickode.com/en/careers	2011	Yes	No			No	<img src="http://www.quickode.com/public/logo_black.jpg" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="www.quickode.com">Quickcode</a>	הקובץ של MAdeinJLM	quickode Ltd.																																										
RadWare	http://www.radware.com/	http://www.radware.com/images/Rad_logo.gif?Lo0P=1b3b61d92e4e927c83b808d20b7e5d613271	Ha'Marpe 8, Har-Hotzvim	HH	Corporate	150	Software		052-6111091	רועי זיסאפל	Radware, the global leader in integrated application delivery and application security solutions for business-smart networking, assures the complete availability, performance, and security of business-critical applications for enterprises and carriers worldwide. 			31.80375	35.211135		V											<img src="http://www.radware.com/images/Rad_logo.gif?Lo0P=1b3b61d92e4e927c83b808d20b7e5d613271" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.radware.com/">RadWare</a>	הקובץ של MAdeinJLM	RadWare																																										
RoadMetric	http://www.roadmetric.com/	http://madeinjlm.org/map/1px.png	Neve Ilan	Neve Ilan	Mid		Software				RoadMetric produces innovative tools for effective traffic law enforcement. 			31.808218	35.081039		?											<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.roadmetric.com/">RoadMetric</a>	הקובץ של MAdeinJLM	RoadMetric																																										
Sandvine	http://www.sandvine.com		המרפא 12 ת.ד. 45207	HH			software		02-5400980	איציק וויינגרטן	פיתוח תוכנה			31.809	35.2235	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.sandvine.com">Sandvine</a>	הקובץ של הרל"י	sandvine	כן	אחר	02-5400981	היי-טק	לא	לא	כן	לא	כן	הרחבת עסק בירושלים	לא	לורנס רובין	513476382	לא	לא	לא	לא	כן		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	כן	כן										
Satec-Global	http://www.satec-global.com	http://www.satec-global.com.au/images/logo-satec-global.jpg	7 Hamarpe St. Har Hotzvim Industrial Park	HH		8	software		02-5411000	גידי רוזנברג	SATEC is a global leader in the research, development and manufacturing of energy management solutions.		https://www.facebook.com/SATEC.Global	31.802687	35.211159	Nope												<img src="http://www.satec-global.com.au/images/logo-satec-global.jpg" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.satec-global.com">Satec-Global</a>	הקובץ של הרל"י	Satec	כן	בחר מקור	02-5812371	היי-טק	לא	כן	כן	לא	כן	הרחבת עסק בירושלים	לא		51123460	לא	לא	לא	כן	כן		כן	כן	לא	לא	לא	לא	לא	כן	לא		לא	כן	כן		5	3							
Servision 	http://www.servision.net/	http://www.servision.net/Pages/FileManager/FileManager/UserFiles/images/GlobalElements/logo.gif	Kiryat Mada 11	HH	Mid	40	Software	gtahan@servision.net	972-2-535-0000	 Gidon Tahan (Founder, Chairman & CEO) 	manufactures professional video recording and transmission systems for the security and transportation sectors. SerVision Plc (LSE: ^SEV) is traded on the AIM market of the London Stock Exchange. 			31.802428	35.209165		?											<img src="http://www.servision.net/Pages/FileManager/FileManager/UserFiles/images/GlobalElements/logo.gif" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.servision.net/">Servision </a>	הקובץ של MAdeinJLM	Servision 																																										
ShapeDo	https://shapedo.com	http://www.shapedo.com/img/logo-medium.png	Nomads		PreSeed	2	Internet	Ari@shapedo.com	972524858458	Ari Isaacs	Git based project management for 3D projects	shape_do	https://www.facebook.com/shapedo?fref=ts	31.770354	35.216757				Startup			2014	No	Yes				<img src="http://www.shapedo.com/img/logo-medium.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="https://shapedo.com">ShapeDo</a>	הקובץ של MAdeinJLM	ShapeDo																																										
Sherutnet	https://www.sherut.net/	http://www.sherut.net/Content/AppIcons/Logo_256.png	Kiryat Anavim	Other	Young	5	Software				social network for customer service		SherutNet	31.810187	35.120841		X											<img src="http://www.sherut.net/Content/AppIcons/Logo_256.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="https://www.sherut.net/">Sherutnet</a>	הקובץ של MAdeinJLM	Sherutnet																																										
Siemens		http://madeinjlm.org/map/1px.png	Har Hotzvim	HH	Corporate		Medical							31.80284	35.208932		X											<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">Siemens</a>	הקובץ של MAdeinJLM	Siemens																																										
Siftech	http://www.siftech.org.il/	http://madeinjlm.org/wp-content/uploads/2013/04/SifTech-logo-1-300x240.png	 Hebrew University of Jerusalem, Har Hatzofim Capmus. Mexico building 91072				Accelerator/Hub				SifTech is the first Jerusalem-based Startup Accelerator, established in 2012 in the Hebrew University. As of today, 20 start-ups have launched through two classes of the Accelerator.			31.7935	35.243233		V											<img src="http://madeinjlm.org/wp-content/uploads/2013/04/SifTech-logo-1-300x240.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.siftech.org.il/">Siftech</a>	הקובץ של MAdeinJLM	Siftech																																										
SIMPLEx	http://thesimplex.co/	http://madeinjlm.org/map/1px.png					Software				We envision a world where any person from any background will be able to learn how to program in every state-of-the-art programming language available. We're 8 young entrepreneurs from Jerusalem area, all former students of MEET - Middle East Education through Technology																	<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://thesimplex.co/">SIMPLEx</a>	הקובץ של MAdeinJLM	SIMPLEx																																										
Sintec Media	http://www.sintecmedia.com/	http://www.yedatech.co.il/rep/data/company/logo/medium/SintecMedia.jpg	8 Am Ve`Olamo St. Har nof	Other	Mid	100	Software	sales@sintecmedia.com	02-6515122		SintecMedia, the leading provider of media business management solutions, has over 300 client sites around the world.SintecMedia augmented its comprehensive solutions for broadcasters, Pay TV networks, multichannel operators and station groups world-wide. 			31.789397	35.186287	TRUE												<img src="http://www.yedatech.co.il/rep/data/company/logo/medium/SintecMedia.jpg" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.sintecmedia.com/">Sintec Media</a>	הקובץ של MAdeinJLM	Sintec Media																																										
Sitehood	http://www.sitehood.co.il/	http://www.sitehood.co.il/static/images/design/LogoENG.png	hataasya, 93825 Talpiot	South	Young	5	Internet		02-633-6160				SiteHood	31.748642	35.213303													<img src="http://www.sitehood.co.il/static/images/design/LogoENG.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.sitehood.co.il/">Sitehood</a>	הקובץ של MAdeinJLM	Sitehood																																										
SkySaver	www.skysaverusa.com	http://www.skysaverusa.com/wp-content/themes/skysaver/images/skysaver-logo.gif	Hamarpe 1, Har Hotzvim	HH		30	Hardware	idob@skysaverusa.com	800801801	Ido Barnoy	Develop and manufacture rescue devices from high rise buildings in the event of an emergency.	SkySaverUSA	https://www.facebook.com/SkySaverUSA?ref=hl	31.801699	35.2116545	Nope			Startup									<img src="http://www.skysaverusa.com/wp-content/themes/skysaver/images/skysaver-logo.gif" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="www.skysaverusa.com">SkySaver</a>	הקובץ של MAdeinJLM	SkySaver																																										
SlideIT	http://mobiletextinput.com	http://androidcandy.files.wordpress.com/2011/11/slideit-keyboard.png	Yam Suf 6, Jerusalem	Other	Young	7	Mobile	 Nissim Benbenisty - nissim@mobiletextinput.com Beny Zemmour - zemmour@mobiletextinput.com			SlideIT is the world’s best text entry solution for touch-screen devices. It's a quick, efficient and enjoyable way to input text on your touchscreen mobile or tablet.			31.801105	35.223112													<img src="http://androidcandy.files.wordpress.com/2011/11/slideit-keyboard.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://mobiletextinput.com">SlideIT</a>	הקובץ של MAdeinJLM	SlideIT																																										
Snapget	http://www.ilventure.co/snapget1	http://www.snapgetapp.com/images/logo.jpg	Siftech		Pre-Seed		Mobile				Seen a garment you love? Now you can snap a pic with your smartphone and snapget will tell you exactly where to buy it, or similar items, in seconds! 			31.79692	35.243233													<img src="http://www.snapgetapp.com/images/logo.jpg" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.ilventure.co/snapget1">Snapget</a>	הקובץ של MAdeinJLM	Snapget																																										
snapkeys	http://www.snapkeys.com	http://www.snapkeys.com/images/logo-letsnap.png			Young	5	Mobile							31.764315	35.189871													<img src="http://www.snapkeys.com/images/logo-letsnap.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.snapkeys.com">snapkeys</a>	הקובץ של MAdeinJLM	snapkeys																																										
SoftPublisher	http://www.softpublisher.com/	http://www.softpublisher.com/img/logo.png	Bet Hakerem POB 3749	Other	Young		Internet				Software Distribution Network for Browser Addons, Mobile & Desktop Applications			31.777541	35.189803													<img src="http://www.softpublisher.com/img/logo.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.softpublisher.com/">SoftPublisher</a>	הקובץ של MAdeinJLM	SoftPublisher																																										
SQLink	http://eng.sqlink.com/	http://madeinjlm.org/map/1px.png	Har Hotzvim	HH	Service		Software				SQLink was established in 1994 as a software house and has since grown into a group of companies providing end to end IT services under a single roof. The Group employs approximately 700 computer specialists. 			31.802785	35.209683													<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://eng.sqlink.com/">SQLink</a>	הקובץ של MAdeinJLM	SQLink																																										
Star3DMe	http://star3dme.com/	http://star3dme.com/			Pre-Seed	1	Internet			, Kenneth Dukofsky																		<img src="http://star3dme.com/" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://star3dme.com/">Star3DMe</a>	הקובץ של MAdeinJLM	Star3DMe																																										
Starling	http://playstarling.com	https://launchrock-assets.s3.amazonaws.com/logo-files/HXAOUKOY_1364922028346.png?_=1	Poalei Tzedek 2	Talpiot		3	Mobile	dan@playstarling.com	+972 547459832	Dan Bystritsky	Enjoy a better music experience! Starling is a social game for venues based on the music experience. You play and compete with other people, choosing the music at your favorite venue. When you leave the venue you get to maintain the music experience, being able to log on and listen to the music played there. With Starling it always your song!!! 		https://www.facebook.com/playstarling	31.75299	35.214958	Nope			Startup									<img src="https://launchrock-assets.s3.amazonaws.com/logo-files/HXAOUKOY_1364922028346.png?_=1" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://playstarling.com">Starling</a>	הקובץ של MAdeinJLM	Starling																																										
Sunshield Ltd	www.sunshieldgroup.com	http://sunshield.co.il	111 haztav St. Moshav Ora	Metro		1-700-500-549	Energy	contact@israsun.com		Uriel Nathan	Sunshield designs, markets and installs window film products:  Sunshield films maximise energy efficiency in buildiings by rejecting the sun's heat energy(IR)  SecurityShield Films protect glass from catastrophic events such as bomb blasts and collateral damage		https://www.facebook.com/pages/sunshield-%D7%9E%D7%92%D7%9F-%D7%A9%D7%9E%D7%A9-%D7%91%D7%A2%D7%9E/119850598041329?ref=br_tf	31.751927	35.149148	Nope			Service Provider / Outsource	Thanks and Regards								<img src="http://sunshield.co.il" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="www.sunshieldgroup.com">Sunshield Ltd</a>	הקובץ של MAdeinJLM	Sunshield Ltd																																										
Teramout	www.teramount.com	http://static.squarespace.com/static/51bea74ce4b020693fe29822/t/52f7ca01e4b056ca2bfce2bb/1392193827168/?format=1500w	Givat Ram	Givat Ram			Optics	avi.israel@teramount.com	+972 2-624-9712	Avi Israel	Founded last July and based in Jerusalem, Teramount operates in a new and exiting branch of electronics - Photonic integrated circuits (PIC). This technology merges the two most successful industries of this generation, silicon based electronics and optical communication into ultra-wideband chips. Our company tackles perhaps the biggest obstacle of PIC based devices, the lack of a scalable, electronics like, model for packaging and assembly.	TeramountLTD		31.767207	35.19762	Yes, we are hiring!			Startup		http://www.teramount.com/jobs/	2013	No	Yes				<img src="http://static.squarespace.com/static/51bea74ce4b020693fe29822/t/52f7ca01e4b056ca2bfce2bb/1392193827168/?format=1500w" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="www.teramount.com">Teramout</a>	הקובץ של MAdeinJLM	Teramout																																										
Terra Venture Partners	http://www.terravp.com	http://www.terravp.com/upload/design/logo.jpg	41 Harlap Street	Other			Investor				Terra Venture Partners is the leading Israeli multi-stage fund investing in and incubating novel clean technology companies.			31.768365	35.211096		V											<img src="http://www.terravp.com/upload/design/logo.jpg" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.terravp.com">Terra Venture Partners</a>	הקובץ של MAdeinJLM	Terra Venture Partners																																										
The Elegant Monkeys	https://www.facebook.com/ElegantMonkeys?ref=br_rs	https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-ash3/t1/1463997_377309819072058_2132379666_n.png	no address				Mobile	maayanyaz@windowslive.com		Maayan Yazdi	We're a startup company, currently working hard on the app that's going to change the world & the way you play :)		https://www.facebook.com/ElegantMonkeys?ref=br_rs			Yes, we are hiring!			Startup		Mobile Developers		Yes	Yes				<img src="https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-ash3/t1/1463997_377309819072058_2132379666_n.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="https://www.facebook.com/ElegantMonkeys?ref=br_rs">The Elegant Monkeys</a>	הקובץ של MAdeinJLM	The Elegant Monkeys																																										
ThetaRay	http://thetaray.com/	http://www.geektime.co.il/wp-content/uploads/2013/08/thetaray.png	Hevron Road 24	JVP	Young	5	Software	Mark Gazit		Mark Gazit	ThetaRay’s Hyper-dimensional Big Data Analytics™ solution protect against unknown zero-day threats and APT attacks that target critical infrastructure.	ThetaRayTeam		31.76704	35.225121													<img src="http://www.geektime.co.il/wp-content/uploads/2013/08/thetaray.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://thetaray.com/">ThetaRay</a>	הקובץ של MAdeinJLM	ThetaRay																																										
Tipengo	https://www.tipengo.com/	https://www.tipengo.com/img/new/logo.png	Samuel hanagid 25, city center	Center			Mobile	tipengo.alon@gmail.com	528655527	alon osman	Tipengo is an artificial intelligence social app based on intelligent crowd sourcing aimed to put people in the right places with the right crowd.		https://www.facebook.com/Tipengo	31.778435	35.215151	Nope			Service Provider / Outsource									<img src="https://www.tipengo.com/img/new/logo.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="https://www.tipengo.com/">Tipengo</a>	הקובץ של MAdeinJLM	Tipengo																																										
Tok Media	http://www.tok-media.com	http://tok-media.com.previewdns.com/wp-content/uploads/2012/02/logo.png	Hevron Road 24	JVP	Young	10	Internet	Ron Patreanu						31.767026	35.225427													<img src="http://tok-media.com.previewdns.com/wp-content/uploads/2012/02/logo.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.tok-media.com">Tok Media</a>	הקובץ של MAdeinJLM	Tok Media																																										
Umoove	http://umoove.me/	http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0024/2345/242345v1-max-250x250.png	Har Hotzvim	HH	Mid	10	Mobile	Tuvia Elbaum	054-7000043	Tuvia Elbaum	Umoove operates your mobile through head movements alone 			31.802775	35.209683	Nope												<img src="http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0024/2345/242345v1-max-250x250.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://umoove.me/">Umoove</a>	הקובץ של MAdeinJLM	Umoove																																										
Utopia		http://madeinjlm.org/map/1px.png	Siftech		Young	2	Internet				Siftech			31.79792	35.243233													<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">Utopia</a>	הקובץ של MAdeinJLM	Utopia																																										
