company,url,picture,address,Area,tags,numOfEmplyee,category,contactEmail,contactPhone,contactName,description,twitter,facebookPage,latitude,longitude,isHiring,on logo map?,tofes?,Company Type,Comments,"If your company is hiring, please add a link to the ""open position"" web page",~Year of establishment,~Are you familiar with the grants for Jerusalem based companies?,~Is your company looking to raise money?,~If yes- would you like to get more information about the grants?did,~If not - would you like to get more information about the grants?,~Is your company looking to raise money?,logo,Company,????,?? ????? ???????,"?????? ???""?",???? ??? ????,???,???? ????,???? ?????? ???,???? ?????,??????? ????? ?????,???? ???????,???? ??? ??? ???? ????? ????,???? ?????,???-????,"???""?",?.?,????? ?? ????? ??????? ???????? ????? ??????,??????,????? ??????,????? ????? ?? ?????? ??????,????? ??? ????,????? ?????,?????? ??????,?????? ????????,??????,????? ????,???? ????,?????? ?????,????? ???,??? ?????? ?????? ??????,????? ?????? ?? ?????? ???????,????? ????,???? ?????? ????,???? ????? ????????,????? ????? ????????,????,???????/???????,????? ?????,?????? ?????,????? Round A,???? Round A,????? Round B,???? Round B,????? Seed,???? Seed
Lig,http://signup.justiceapp.us/,http://madeinjlm.org/map/1px.png,PICO,Talpiot,Pre-Seed,3,Mobile,Itamar Tzabari,,Itamar Tzabari,Siftech,,,31.7939,35.243233,,V,,,,,,,,,,,"<img src=""http://madeinjlm.org/map/1px.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://signup.justiceapp.us/"">Lig</a>",????? ?? MAdeinJLM,Lig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Livnat, Mayer & Co. - Attorneys At Law",http://www.LMF.co.il,https://www.facebook.com/photo.php?fbid=104735889687488&set=a.104735153020895.10410.100004532320193&type=1&theater,"Jerusalem Technology Park - Building #9, Malcha",Malcha,,,Service Provider / Outsource,mayer@LMF.co.il,,Russell Mayer,"We are a law firm established in Jerusalem which focuses on providing legal services to start-up enterprises with emphasis on those originating in Jerusalem. Our practice includes services from formation to exit, employment law, intellectual property and leases.",,https://www.facebook.com/livnat.mayer?fref=ts,31.749427,35.186021,"Yes, we are hiring!",,,,1998,Yes,Yes,,,No,,,"<img src=""https://www.facebook.com/photo.php?fbid=104735889687488&set=a.104735153020895.10410.100004532320193&type=1&theater"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.LMF.co.il"">Livnat, Mayer & Co. - Attorneys At Law</a>",????? ?? MAdeinJLM,"Livnat, Mayer & Co. - Attorneys At Law",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS Message experts,http://www.message-experts.com/,http://www.message-experts.com/wp-content/themes/Minimal/images/logo.png,"Reuven 22, Jerusalem",Talpiot,Service,3,Service Provider / Outsource,fleur@message-experts.com,545283683,Fleur Hassan-Nahoum,"LS Message experts is a boutique consulting firm that specializes in helping our clients develop their messages and then deliver them effectively in any setting from a one-on-one conversation, to a client/sales/investor meetings/interviews to large presentations or high-stakes speaking events. Programs are tailored to each client’s needs, often in preparation for a specific upcoming high-stakes speaking opportunity. Sessions with our experts guarantee a significant upgrade in both content and delivery style. And yes, we make it all fun.

",,,31.759499,35.217887,,,,,,,,,,,,,"<img src=""http://www.message-experts.com/wp-content/themes/Minimal/images/logo.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.message-experts.com/"">LS Message experts</a>",????? ?? MAdeinJLM,LS Message experts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macademia,,http://madeinjlm.org/map/1px.png,Siftech,,Pre-Seed,2,Internet,,,,Sitech,,,31.7936,35.243233,,V,,,,,,,,,,,"<img src=""http://madeinjlm.org/map/1px.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href="""">Macademia</a>",????? ?? MAdeinJLM,Macademia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malam,http://www.malam.com/,http://madeinjlm.org/map/1px.png,?? ??????,???? ????,"Big,Service",,Service Provider / Outsource,,02-6707727,???? ????,,,,31.7941,35.2148,,X,,,,,,,,,,,"<img src=""http://madeinjlm.org/map/1px.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.malam.com/"">Malam</a>",????? ?? MAdeinJLM,Malam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marx Biotechnology Ltd,http://www.MarxBio.com,http://madeinjlm.org/map/1px.png,"Hamitla Street 3/3, Jerusalem",,,2,Medical,Stephen@MarxBio.com,0528 693366,Michael Horesh,Marx Bio is entering clinical trials to develop a diagnostic kit for the early detection of Graft Versus Host Disease (GVHD).,,,31.800868,35.224078,Nope,,,Startup,"Marx Bio has completed animal trials and is now entering Phase 1 clinical trials. The technology is supported by 3 strong patents and a paper published in a peer journal. Founded in 2011 and financed through seed investment, the company will create a prototype over the next twelve months",,2011,Yes,Yes,,,,"<img src=""http://madeinjlm.org/map/1px.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.MarxBio.com"">Marx Biotechnology Ltd</a>",????? ?? MAdeinJLM,Marx Biotechnology Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matrix,www.matrix.com,http://madeinjlm.org/map/1px.png,???? ???? 11,?? ??????,"Big,Service",,Service Provider / Outsource,,02-5888600,??? ?????,"????? ?????? ?- 6,300 ??????? ,IT. ?????? ????? ?????? ??????? ?????????, ????? ?????? ??????????, ??????? ?????? ?????, ????? ?????? ????? ????? ??????? ??????, ?????? ?????, ?????, ,Offshore ????? ???, ??????, ????? ??????, ???????? ????? ???????. ?????? ?????? ????? ???? ???? ????? ?? ????? ?????? IT, ?""?? ??? BDI. - ?????? ????? ?????? ??????? ??? ??""? ???? ?? ???? 100 ?????? ?? ???? ??????? ?? ?????? ??????? ??????? ??????? - ?? ??? 20. - ????? ??????? ?? ?????? ????? ??? 2011???? ?- 1.75 ??????? ???, ????? ???? ???? ?- 96 ?????? ???. - ????? ????? ?????? ?? ?????? ????? ?????? ???? ?????? ?????? ??????, STKI ????? ?? ?????? ???? ?? ???? ??????? ? IDC ????? ?? ?????? ?????? ?? ???? ??????? ???????.",,,,,,X,,,,,,,,,,,"<img src=""http://madeinjlm.org/map/1px.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""www.matrix.com"">Matrix</a>",????? ?? MAdeinJLM,Matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayorita,https://www.mayorita.com/,https://www.mayorita.com/assets/logo-3a9d667482a6b643dd113604423ad3a1.png,Jerusalem,,Young,2,Software,contact@mayorita.com,,Ran Kramer,"Mayorita is a reliable and objective way to hear the voice of the crowd and to make your own voice influence others. Whether it is a fact, opinion or advise that you seek, Mayorita is there for you",,,31.804753,35.150789,,X,,,,,,,,,,,"<img src=""https://www.mayorita.com/assets/logo-3a9d667482a6b643dd113604423ad3a1.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""https://www.mayorita.com/"">Mayorita</a>",????? ?? MAdeinJLM,Mayorita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medinol,http://www.medinol.com/,http://madeinjlm.org/map/1px.png,Har Hotzvim,HH,,,Medical,,03-7679000,???? ????,??????,,,31.809,35.2235,,V,,,,,,,,,,,"<img src=""http://madeinjlm.org/map/1px.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.medinol.com/"">Medinol </a>",????? ?? MAdeinJLM,Medinol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merjerz,http://www.merjerz.com,http://www.merjerz.com/assets/logo_m-425c009dd205d0370b1ec90d11fa72a0.png,Hamaapilim 10,Katamon,,,Internet,info@merjerz.com,,Arye Schreiber,"Merjerz makes M&A succeed, using the wisdom of crowds. Help the companies you care about make the right moves by joining the crowd of Merjerz mavericks.",@merjerz,https://www.facebook.com/Merjerz,31.7629,35.2061,Nope,,,Startup,,,,,,,,,"<img src=""http://www.merjerz.com/assets/logo_m-425c009dd205d0370b1ec90d11fa72a0.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.merjerz.com"">Merjerz</a>",????? ?? MAdeinJLM,Merjerz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minicom,http://www.minicom.com/,,"????? 16, ?.?. 45048",HH,,,,,02-5359618,???? ????,??????? ????? IT,,,31.809,35.2235,Nope,,,,,,,,,,,,"<img src="""" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.minicom.com/"">Minicom</a>","????? ?? ???""?",minicom,??,??? ???????,02-5359693,??????,??,??,??,??,??,???,??,,,??,??,??,??,??,,??,??,??,??,??,??,??,??,??,,??,??,??,,,,,,,,,,
Mobichem,http://www.mobichem-sci.com,,"????? 19, ?.?.45390",HH,,7,,,02-8560324,???? ?????,"????? ????? ?????? ???????????????? ???????, ?????, ???""? ??????+????????? ???? ????? ????? ?""????? ?????""",,,31.809,35.2235,"Yes, we are hiring!",,,,,,,,,,,,"<img src="""" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.mobichem-sci.com"">Mobichem</a>","????? ?? ???""?",Mobichem,??,???,02-5902602,???-??,??,??,??,??,??,????? ??? ????????,??,???? ?????,513222091,??,??,??,??,??,,??,??,??,??,??,??,??,??,??,,??,??,??,,,,7,,,,,,
Mobileye,http://www.mobileye.com/,http://www.mobileye.com/wp-content/themes/mobileye/images/logo.gif,Har Hotzvim,HH,Big,250,Software,,,,"Using sophisticated vision algorithms, Mobileye’s collision avoidance technology is able to ‘interpret’ a scene in real-time and provide drivers with an immediate evaluation based on its analysis. Automakers are now adopting this technology into their rapidly expanding safety feature applications known as Advanced Driver Assistance Systems (ADAS).",,,31.804734,35.213252,,V,,,,,,,,,,,"<img src=""http://www.mobileye.com/wp-content/themes/mobileye/images/logo.gif"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.mobileye.com/"">Mobileye</a>",????? ?? MAdeinJLM,Mobileye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyClozz,,http://madeinjlm.org/map/1px.png,PICO,Talpiot,Pre-Seed,2,Internet,,,,Sitech,,,31.793519,35.243282,,V,,,,,,,,,,,"<img src=""http://madeinjlm.org/map/1px.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href="""">MyClozz</a>",????? ?? MAdeinJLM,MyClozz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ness,,http://madeinjlm.org/map/1px.png,,HH,"Big,Service",,Service Provider / Outsource,,,,,,,,,,X,,,,,,,,,,,"<img src=""http://madeinjlm.org/map/1px.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href="""">Ness</a>",????? ?? MAdeinJLM,Ness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NowForce,http://www.nowforce.com/,http://www.nowforce.com/wp-content/themes/Nowforce/images/logo.png,"6 Hartum, HH",HH,Mid,,Software,,,,"Whether you’re looking to reduce response times, create a safer environment for the people you serve, or optimize incident management, NowForce’s suite of emergency response software and mobile dispatch apps will help your organization improve outcomes.",,,31.802637,35.213388,,?,,,,,,,,,,,"<img src=""http://www.nowforce.com/wp-content/themes/Nowforce/images/logo.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.nowforce.com/"">NowForce</a>",????? ?? MAdeinJLM,NowForce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omrix,http://www.omrix.com,http://madeinjlm.org/map/1px.png,,HH,,,pharma,,03-7707799,Galia Eckstein,??? ???????,,,31.809,35.2235,,V,,,,,,,,,,,"<img src=""http://madeinjlm.org/map/1px.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.omrix.com"">Omrix</a>",????? ?? MAdeinJLM,Omrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ophir optical,http://www.ophiropt.com/,http://www.ophiropt.com/user_files/logos/ophir_logo.gif,"Science-based industrial Park, Har Hotzvim",HH,Big,,Hardware,,,,"Ophir Optronics is a global leader in precision infrared optics, photonics instrumentation and 3D non-contact measurement equipment. The company develops, manufactures and markets top quality products that are based on the most advanced technologies and are renowned for their quality and reliability.",,,31.80294,35.209753,,V,,,,,,,,,,,"<img src=""http://www.ophiropt.com/user_files/logos/ophir_logo.gif"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.ophiropt.com/"">Ophir optical</a>",????? ?? MAdeinJLM,Ophir optical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oramed,http://oramed.com/,http://madeinjlm.org/map/1px.png,"??? ????-?? 626 3C, ?.?. 39098",Givat Ram,,,Medical,,547924438,????? ????,developing proprietary technology for the oral delivery of drugs,,,31.7941,35.2148,,?,,,,,,,,,,,"<img src=""http://madeinjlm.org/map/1px.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://oramed.com/"">Oramed</a>",????? ?? MAdeinJLM,Oramed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oridion,http://www.oridion.com,,"????? 7, ????? 5",HH,,,pharma,,02-5899147,???? ?????,????? ????? ????? ?????? ?? ?????? ?????? ??????? ????? ????? ???- ????? ?????? ?????,,,31.809,35.2235,"Yes, we are hiring!",,,,,,,,,,,,"<img src="""" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.oridion.com"">Oridion</a>","????? ?? ???""?",oridion medical,??,???,02-5825873,???-??,,??,??,??,??,????? ??? ????????,??,,511197493,??,??,??,??,??,,??,??,??,??,??,??,??,??,??,,??,??,??,,,,,,,,,,
Photocell,,,"??? ?????, ????? ???? ??, ?.?. 39158",Givat Ram,,3,,Ilan@psphotocell.com,054-2520030,???? ???,????? ?? ???? ??????? ?????????? ??????,,,31.782,35.2155,Nope,,,,,,,,,,,,"<img src="""" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href="""">Photocell</a>","????? ?? ???""?",Photocell,??,???,08-8506118,???-??,??,??,??,??,??,???,??,???? ???,514696095,??,??,??,??,??,,??,??,??,??,??,??,??,??,??,,??,??,??,,2,1,,,,,,,
PICO,http://www.picojerusalem.com/,http://madeinjlm.org/wp-content/uploads/2013/07/logopico.png,"Poale Tzedek 2, 4th floor, Talpiot,",Talpiot,,,Accelerator/Hub,,,,"PICO is an exciting new concept in co-working shared space located in Talpiot, Jerusalem. In order to effect a sound ‘ground roots’ change in the economic reality of the neighborhood, we have created the eco-system to truly imbibe the area with a new paradigm in business development.

",,,31.752962,35.21506,,V,,,,,,,,,,,"<img src=""http://madeinjlm.org/wp-content/uploads/2013/07/logopico.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.picojerusalem.com/"">PICO</a>",????? ?? MAdeinJLM,PICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilat Media,http://www.pilatmedia.com/,http://madeinjlm.org/map/1px.png,Har Hotzvim,HH,Mid,30,Software,,,,Pilat Media focuses on business management for media operations. Our product suites help top tier broadcasters generate billions of dollars in revenue.,Pilat_Media,,31.802815,35.209623,,V,,,,,,,,,,,"<img src=""http://madeinjlm.org/map/1px.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.pilatmedia.com/"">Pilat Media</a>",????? ?? MAdeinJLM,Pilat Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planet of the Apps,http://poa-media.com,http://www.poa-media.com/images/site_new.jpg,"Communication Center, Neve-Ilan",Neve Ilan,,6,mobile,ben@poa-media.com,,Ben Engel-Kacen,"Planet of the Apps design, develop and publish casual social games for mobile platforms. 

The company bring innovation to the casual social gaming sphere through creative business models and unique user experience.",@Poamediagroup,https://www.facebook.com/POAgroup,31.80705,35.08647,"Yes, we are hiring!",,,Startup,,http://www.ilventure.co/planet-of-the-apps,2013,No,Yes,,,Yes,"<img src=""http://www.poa-media.com/images/site_new.jpg"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://poa-media.com"">Planet of the Apps</a>",????? ?? MAdeinJLM,Planet of the Apps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POD,http://smartproductdiscovery.com/,http://madeinjlm.org/map/1px.png,,,Pre-Seed,30,Mobile,,,,Pod is a unique product discovery service that helps you make the right buying decisions. No more scrolling endless reviews. Intelligent filters: read what you need.,,,,,,?,,,,,,,,,,,"<img src=""http://madeinjlm.org/map/1px.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://smartproductdiscovery.com/"">POD</a>",????? ?? MAdeinJLM,POD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powermat,http://powermat.com/,http://upload.wikimedia.org/wikipedia/en/6/66/Powermat_Technologies_Comp._logo.png,Neve ilan,Neve ilan,Big,100,Hardware,,02-9950500,??? ???,"Powermat Technologies Ltd. is a developer of wireless energy transfer solutions for consumers, OEM and public places. Retail products are sold worldwide under the brand Duracell Powermat. The company's inductive charging technology has been adopted by the Power Matters Alliance and is the platform adopted by Duracell, General Motors, Starbucks and AT&T.????? ???? ????? ???????? ????????? ?????. ?????????? ?????? ???????? ????????? ????: ??????? ?????, ???? MP3 ??????? ????????? ?????? ??? ?????? ?????? ??????",,,31.808158,35.081069,Nope,?,,,,,,,,,,,"<img src=""http://upload.wikimedia.org/wikipedia/en/6/66/Powermat_Technologies_Comp._logo.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://powermat.com/"">Powermat</a>",????? ?? MAdeinJLM,Powermat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presentense,http://presentense.org/,http://presentense.org/files/profile_images/ptstar_0.jpg?1382425943,"14 Hillel Street, 4th floor",Center,,,Accelerator/Hub,,,,"PresenTense’s Jerusalem Hub hosts a social workspace for entrepreneurs and freelancers, locals and travelers in need of a productive place to work or meet. PresenTense’s hub offers open desks, offices, office hours, a conference room, a classroom, conversation clusters, and an environment that is inspiring and animating.",https://twitter.com/PresenTense,https://www.facebook.com/presentense,31.780386,35.217487,,V,,,,,,,,,,,"<img src=""http://presentense.org/files/profile_images/ptstar_0.jpg?1382425943"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://presentense.org/"">Presentense</a>",????? ?? MAdeinJLM,Presentense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qualitest,http://www.qualitestgroup.com/,https://pbs.twimg.com/profile_images/112737881/QualiTest_Logo_Twitter.gif,????? 8,HH,"Big,Service",,Service Provider / Outsource,,,,QualiTest Group is the world's second largest independent QA and software testing company.,,,31.802865,35.211182,,X,,,,,,,,,,,"<img src=""https://pbs.twimg.com/profile_images/112737881/QualiTest_Logo_Twitter.gif"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.qualitestgroup.com/"">Qualitest</a>",????? ?? MAdeinJLM,Qualitest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quickcode,www.quickode.com,http://www.quickode.com/public/logo_black.jpg,"2nd floor, the Tower, Malcha technology park, Jerusalem",Malcha,,18,Service Provider / Outsource,yoni@quickode.com,054-6968896,Yoni Colb,"Quickode Ltd. is a mobile software firm developing applications and platforms and providing end to end service from wireframes and specification to amazing applications as well as server-side solutions, web development and more.",@Quickode,https://www.facebook.com/pages/Quickode-Ltd/198740810145469,31.749847,35.18633,"Yes, we are hiring!",,,Service Provider / Outsource,,http://quickode.com/en/careers,2011,Yes,No,,,No,"<img src=""http://www.quickode.com/public/logo_black.jpg"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""www.quickode.com"">Quickcode</a>",????? ?? MAdeinJLM,quickode Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RadWare,http://www.radware.com/,http://www.radware.com/images/Rad_logo.gif?Lo0P=1b3b61d92e4e927c83b808d20b7e5d613271,"Ha'Marpe 8, Har-Hotzvim",HH,Corporate,150,Software,,052-6111091,???? ??????,"Radware, the global leader in integrated application delivery and application security solutions for business-smart networking, assures the complete availability, performance, and security of business-critical applications for enterprises and carriers worldwide.",,,31.80375,35.211135,,V,,,,,,,,,,,"<img src=""http://www.radware.com/images/Rad_logo.gif?Lo0P=1b3b61d92e4e927c83b808d20b7e5d613271"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.radware.com/"">RadWare</a>",????? ?? MAdeinJLM,RadWare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoadMetric,http://www.roadmetric.com/,http://madeinjlm.org/map/1px.png,Neve Ilan,Neve Ilan,Mid,,Software,,,,RoadMetric produces innovative tools for effective traffic law enforcement.,,,31.808218,35.081039,,?,,,,,,,,,,,"<img src=""http://madeinjlm.org/map/1px.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.roadmetric.com/"">RoadMetric</a>",????? ?? MAdeinJLM,RoadMetric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandvine,http://www.sandvine.com,,????? 12 ?.?. 45207,HH,,,software,,02-5400980,????? ?????????,????? ?????,,,31.809,35.2235,"Yes, we are hiring!",,,,,,,,,,,,"<img src="""" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.sandvine.com"">Sandvine</a>","????? ?? ???""?",sandvine,??,???,02-5400981,???-??,??,??,??,??,??,????? ??? ????????,??,????? ?????,513476382,??,??,??,??,??,,??,??,??,??,??,??,??,??,??,,??,??,??,,,,,,,,,,
Satec-Global,http://www.satec-global.com,http://www.satec-global.com.au/images/logo-satec-global.jpg,"7 Hamarpe St.
Har Hotzvim Industrial Park",HH,,8,software,,02-5411000,???? ???????,"SATEC is a global leader in the research, development and manufacturing of energy management solutions.",,https://www.facebook.com/SATEC.Global,31.802687,35.211159,Nope,,,,,,,,,,,,"<img src=""http://www.satec-global.com.au/images/logo-satec-global.jpg"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.satec-global.com"">Satec-Global</a>","????? ?? ???""?",Satec,??,??? ????,02-5812371,???-??,??,??,??,??,??,????? ??? ????????,??,,51123460,??,??,??,??,??,,??,??,??,??,??,??,??,??,??,,??,??,??,,5,3,,,,,,,
Servision,http://www.servision.net/,http://www.servision.net/Pages/FileManager/FileManager/UserFiles/images/GlobalElements/logo.gif,Kiryat Mada 11,HH,Mid,40,Software,gtahan@servision.net,972-2-535-0000,"Gidon Tahan (Founder, Chairman & CEO)",manufactures professional video recording and transmission systems for the security and transportation sectors. SerVision Plc (LSE: ^SEV) is traded on the AIM market of the London Stock Exchange.,,,31.802428,35.209165,,?,,,,,,,,,,,"<img src=""http://www.servision.net/Pages/FileManager/FileManager/UserFiles/images/GlobalElements/logo.gif"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.servision.net/"">Servision </a>",????? ?? MAdeinJLM,Servision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShapeDo,https://shapedo.com,http://www.shapedo.com/img/logo-medium.png,Nomads,,PreSeed,2,Internet,Ari@shapedo.com,9.72525E+11,Ari Isaacs,Git based project management for 3D projects,shape_do,https://www.facebook.com/shapedo?fref=ts,31.770354,35.216757,,,,Startup,,,2014,No,Yes,,,,"<img src=""http://www.shapedo.com/img/logo-medium.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""https://shapedo.com"">ShapeDo</a>",????? ?? MAdeinJLM,ShapeDo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherutnet,https://www.sherut.net/,http://www.sherut.net/Content/AppIcons/Logo_256.png,Kiryat Anavim,Other,Young,5,Software,,,,social network for customer service,,SherutNet,31.810187,35.120841,,X,,,,,,,,,,,"<img src=""http://www.sherut.net/Content/AppIcons/Logo_256.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""https://www.sherut.net/"">Sherutnet</a>",????? ?? MAdeinJLM,Sherutnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siemens,,http://madeinjlm.org/map/1px.png,Har Hotzvim,HH,Corporate,,Medical,,,,,,,31.80284,35.208932,,X,,,,,,,,,,,"<img src=""http://madeinjlm.org/map/1px.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href="""">Siemens</a>",????? ?? MAdeinJLM,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siftech,http://www.siftech.org.il/,http://madeinjlm.org/wp-content/uploads/2013/04/SifTech-logo-1-300x240.png,"Hebrew University of Jerusalem, Har Hatzofim Capmus. Mexico building 91072",,,,Accelerator/Hub,,,,"SifTech is the first Jerusalem-based Startup Accelerator, established in 2012 in the Hebrew University. As of today, 20 start-ups have launched through two classes of the Accelerator.",,,31.7935,35.243233,,V,,,,,,,,,,,"<img src=""http://madeinjlm.org/wp-content/uploads/2013/04/SifTech-logo-1-300x240.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.siftech.org.il/"">Siftech</a>",????? ?? MAdeinJLM,Siftech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMPLEx,http://thesimplex.co/,http://madeinjlm.org/map/1px.png,,,,,Software,,,,"We envision a world where any person from any background will be able to learn how to program in every state-of-the-art programming language available. We're 8 young entrepreneurs from Jerusalem area, all former students of MEET - Middle East Education through Technology",,,,,,,,,,,,,,,,,"<img src=""http://madeinjlm.org/map/1px.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://thesimplex.co/"">SIMPLEx</a>",????? ?? MAdeinJLM,SIMPLEx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
